Fold,Model,Config,Label,Threshold,TP,TN,FP,FN,Bal.Acc,MCC,F1,ROC_AUC,PR_AUC,Precision,Sensitivity,Specificity
0,LR,LR_C=0.01,fine_alcoholic,0.9,14,950,11,8,0.812,0.587,0.596,0.943,0.412,0.56,0.636,0.989
0,LR,LR_C=0.01,fine_aldehydic,0.9,11,943,10,19,0.678,0.424,0.431,0.887,0.377,0.524,0.367,0.99
0,LR,LR_C=0.01,fine_alliaceous,0.9,16,930,22,15,0.747,0.447,0.464,0.951,0.385,0.421,0.516,0.977
0,LR,LR_C=0.01,fine_almond,0.85,7,951,16,9,0.71,0.352,0.359,0.926,0.4,0.304,0.438,0.983
0,LR,LR_C=0.01,fine_amber,0.95,3,961,4,15,0.581,0.259,0.24,0.907,0.244,0.429,0.167,0.996
0,LR,LR_C=0.01,fine_animal,0.85,9,951,9,14,0.691,0.431,0.439,0.793,0.354,0.5,0.391,0.991
0,LR,LR_C=0.01,fine_anisic,0.9,5,962,5,11,0.654,0.388,0.385,0.842,0.476,0.5,0.312,0.995
0,LR,LR_C=0.01,fine_apple,0.8,33,870,51,29,0.738,0.415,0.452,0.904,0.446,0.393,0.532,0.945
0,LR,LR_C=0.01,fine_apricot,0.75,9,906,63,5,0.789,0.263,0.209,0.888,0.142,0.125,0.643,0.935
0,LR,LR_C=0.01,fine_aromatic,0.85,1,949,24,9,0.538,0.048,0.057,0.669,0.042,0.04,0.1,0.975
0,LR,LR_C=0.01,fine_balsamic,0.75,39,883,40,21,0.803,0.534,0.561,0.914,0.568,0.494,0.65,0.957
0,LR,LR_C=0.01,fine_banana,0.8,13,933,24,13,0.737,0.4,0.413,0.905,0.28,0.351,0.5,0.975
0,LR,LR_C=0.01,fine_beefy,0.75,4,949,25,5,0.709,0.236,0.211,0.899,0.083,0.138,0.444,0.974
0,LR,LR_C=0.01,fine_bergamot,0.95,0,978,0,5,0.5,0.0,0.0,0.976,0.232,0.0,0.0,1.0
0,LR,LR_C=0.01,fine_berry,0.85,3,939,15,26,0.544,0.111,0.128,0.772,0.132,0.167,0.103,0.984
0,LR,LR_C=0.01,fine_bitter,0.95,1,967,4,11,0.54,0.122,0.118,0.768,0.063,0.2,0.083,0.996
0,LR,LR_C=0.01,fine_black currant,0.65,8,946,24,5,0.795,0.38,0.356,0.861,0.206,0.25,0.615,0.975
0,LR,LR_C=0.01,fine_brandy,0.85,1,960,16,6,0.563,0.082,0.083,0.706,0.031,0.059,0.143,0.984
0,LR,LR_C=0.01,fine_burnt,0.8,21,879,61,22,0.712,0.313,0.336,0.862,0.247,0.256,0.488,0.935
0,LR,LR_C=0.01,fine_buttery,0.85,13,929,26,15,0.719,0.372,0.388,0.886,0.281,0.333,0.464,0.973
0,LR,LR_C=0.01,fine_cabbage,0.8,5,949,25,4,0.765,0.293,0.256,0.966,0.258,0.167,0.556,0.974
0,LR,LR_C=0.01,fine_camphoreous,0.9,11,946,10,16,0.698,0.449,0.458,0.903,0.442,0.524,0.407,0.99
0,LR,LR_C=0.01,fine_caramellic,0.8,24,902,35,22,0.742,0.431,0.457,0.902,0.479,0.407,0.522,0.963
0,LR,LR_C=0.01,fine_cedar,0.9,2,964,9,8,0.595,0.182,0.19,0.857,0.151,0.182,0.2,0.991
0,LR,LR_C=0.01,fine_celery,0.9,1,971,6,5,0.58,0.149,0.154,0.56,0.187,0.143,0.167,0.994
0,LR,LR_C=0.01,fine_chamomile,0.55,5,934,42,2,0.836,0.265,0.185,0.866,0.488,0.106,0.714,0.957
0,LR,LR_C=0.01,fine_cheesy,0.8,23,916,30,14,0.795,0.497,0.511,0.939,0.475,0.434,0.622,0.968
0,LR,LR_C=0.01,fine_cherry,0.95,2,957,8,16,0.551,0.137,0.143,0.905,0.147,0.2,0.111,0.992
0,LR,LR_C=0.01,fine_chocolate,0.95,1,962,5,15,0.529,0.093,0.091,0.89,0.127,0.167,0.062,0.995
0,LR,LR_C=0.01,fine_cinnamon,0.95,5,965,5,8,0.69,0.432,0.435,0.98,0.379,0.5,0.385,0.995
0,LR,LR_C=0.01,fine_citrus,0.65,46,838,71,28,0.772,0.443,0.482,0.853,0.384,0.393,0.622,0.922
0,LR,LR_C=0.01,fine_clean,0.8,7,937,24,15,0.647,0.248,0.264,0.779,0.201,0.226,0.318,0.975
0,LR,LR_C=0.01,fine_clove,0.95,1,972,5,5,0.581,0.162,0.167,0.858,0.168,0.167,0.167,0.995
0,LR,LR_C=0.01,fine_cocoa,0.9,7,944,16,16,0.644,0.288,0.304,0.892,0.232,0.304,0.304,0.983
0,LR,LR_C=0.01,fine_coconut,0.85,9,952,16,6,0.792,0.454,0.45,0.935,0.586,0.36,0.6,0.983
0,LR,LR_C=0.01,fine_coffee,0.75,15,916,44,8,0.803,0.386,0.366,0.926,0.431,0.254,0.652,0.954
0,LR,LR_C=0.01,fine_cognac,0.9,6,952,11,14,0.644,0.313,0.324,0.932,0.391,0.353,0.3,0.989
0,LR,LR_C=0.01,fine_cooked,0.7,11,894,72,6,0.786,0.268,0.22,0.903,0.201,0.133,0.647,0.925
0,LR,LR_C=0.01,fine_cooling,0.65,3,920,49,11,0.582,0.087,0.091,0.835,0.098,0.058,0.214,0.949
0,LR,LR_C=0.01,fine_cortex,0.85,4,957,13,9,0.647,0.258,0.267,0.752,0.128,0.235,0.308,0.987
0,LR,LR_C=0.01,fine_coumarinic,0.75,6,945,26,6,0.737,0.293,0.273,0.943,0.339,0.188,0.5,0.973
0,LR,LR_C=0.01,fine_creamy,0.85,8,935,8,32,0.596,0.299,0.286,0.779,0.279,0.5,0.2,0.992
0,LR,LR_C=0.01,fine_cucumber,0.95,3,965,7,8,0.633,0.278,0.286,0.916,0.311,0.3,0.273,0.993
