Fold,Model,Config,Bal.Acc,MCC,F1,ROC_AUC,PR_AUC,Precision,Sensitivity,Specificity
0,KNN,KNN_n_neighbors=11_metric=cosine,0.673,0.305,0.311,0.791,0.262,0.328,0.386,0.961
0,KNN,KNN_n_neighbors=11_metric=euclidean,0.672,0.307,0.314,0.787,0.257,0.332,0.384,0.96
0,KNN,KNN_n_neighbors=21_metric=cosine,0.663,0.287,0.298,0.816,0.261,0.301,0.361,0.964
0,KNN,KNN_n_neighbors=21_metric=euclidean,0.656,0.274,0.287,0.809,0.254,0.287,0.349,0.963
0,KNN,KNN_n_neighbors=5_metric=cosine,0.657,0.303,0.31,0.744,0.24,0.358,0.347,0.967
0,KNN,KNN_n_neighbors=5_metric=euclidean,0.66,0.291,0.297,0.745,0.238,0.325,0.359,0.961
0,LR,LR_C=0.01,0.692,0.309,0.317,0.863,0.3,0.288,0.426,0.958
0,LR,LR_C=0.1,0.689,0.302,0.311,0.857,0.299,0.282,0.421,0.957
0,LR,LR_C=1,0.687,0.298,0.307,0.856,0.298,0.277,0.42,0.954
0,LR,LR_C=10,0.687,0.298,0.307,0.856,0.298,0.277,0.42,0.954
0,LR,LR_C=100,0.687,0.298,0.307,0.856,0.298,0.277,0.42,0.954
0,RF,RF_n_estimators=100_max_features=log2,0.689,0.34,0.345,0.864,0.354,0.36,0.412,0.967
0,RF,RF_n_estimators=100_max_features=sqrt,0.686,0.34,0.347,0.857,0.34,0.363,0.403,0.968
0,RF,RF_n_estimators=300_max_features=log2,0.686,0.351,0.357,0.872,0.36,0.383,0.405,0.968
0,RF,RF_n_estimators=300_max_features=sqrt,0.69,0.345,0.352,0.866,0.349,0.363,0.412,0.968
0,SVM,SVM_C=0.1,0.678,0.283,0.29,0.862,0.288,0.275,0.405,0.95
0,SVM,SVM_C=1,0.673,0.312,0.323,0.86,0.314,0.322,0.384,0.963
0,SVM,SVM_C=10,0.662,0.303,0.313,0.843,0.316,0.329,0.357,0.968
0,XGB,XGB_n_estimators=100_max_depth=3,0.663,0.32,0.33,0.847,0.333,0.362,0.356,0.97
0,XGB,XGB_n_estimators=100_max_depth=6,0.662,0.326,0.337,0.84,0.34,0.371,0.349,0.975
0,XGB,XGB_n_estimators=300_max_depth=3,0.657,0.327,0.334,0.844,0.334,0.396,0.339,0.976
0,XGB,XGB_n_estimators=300_max_depth=6,0.658,0.329,0.339,0.839,0.339,0.386,0.339,0.977
1,KNN,KNN_n_neighbors=11_metric=cosine,0.669,0.292,0.299,0.777,0.255,0.311,0.38,0.958
1,KNN,KNN_n_neighbors=11_metric=euclidean,0.664,0.29,0.295,0.775,0.254,0.318,0.37,0.959
1,KNN,KNN_n_neighbors=21_metric=cosine,0.659,0.276,0.285,0.798,0.257,0.291,0.356,0.962
1,KNN,KNN_n_neighbors=21_metric=euclidean,0.658,0.273,0.282,0.798,0.254,0.288,0.354,0.962
1,KNN,KNN_n_neighbors=5_metric=cosine,0.664,0.287,0.293,0.741,0.235,0.313,0.369,0.959
1,KNN,KNN_n_neighbors=5_metric=euclidean,0.66,0.279,0.285,0.737,0.232,0.303,0.364,0.957
1,LR,LR_C=0.01,0.684,0.289,0.298,0.851,0.289,0.269,0.414,0.954
1,LR,LR_C=0.1,0.681,0.288,0.299,0.845,0.293,0.268,0.403,0.958
1,LR,LR_C=1,0.678,0.287,0.297,0.844,0.291,0.273,0.397,0.958
1,LR,LR_C=10,0.676,0.288,0.299,0.844,0.292,0.274,0.393,0.959
1,LR,LR_C=100,0.676,0.288,0.299,0.844,0.292,0.274,0.393,0.959
1,RF,RF_n_estimators=100_max_features=log2,0.678,0.323,0.331,0.844,0.336,0.345,0.39,0.966
1,RF,RF_n_estimators=100_max_features=sqrt,0.678,0.322,0.33,0.839,0.327,0.343,0.389,0.967
1,RF,RF_n_estimators=300_max_features=log2,0.68,0.329,0.34,0.856,0.345,0.344,0.39,0.97
1,RF,RF_n_estimators=300_max_features=sqrt,0.67,0.318,0.328,0.848,0.333,0.346,0.37,0.97
1,SVM,SVM_C=0.1,0.668,0.284,0.291,0.852,0.28,0.295,0.374,0.962
1,SVM,SVM_C=1,0.666,0.292,0.301,0.849,0.306,0.305,0.367,0.966
1,SVM,SVM_C=10,0.655,0.29,0.299,0.831,0.301,0.322,0.343,0.966
1,XGB,XGB_n_estimators=100_max_depth=3,0.658,0.306,0.32,0.83,0.314,0.334,0.345,0.971
1,XGB,XGB_n_estimators=100_max_depth=6,0.65,0.303,0.316,0.822,0.32,0.346,0.328,0.973
1,XGB,XGB_n_estimators=300_max_depth=3,0.648,0.304,0.316,0.825,0.312,0.358,0.32,0.976
1,XGB,XGB_n_estimators=300_max_depth=6,0.649,0.306,0.319,0.82,0.321,0.359,0.322,0.975
2,KNN,KNN_n_neighbors=11_metric=cosine,0.675,0.296,0.304,0.793,0.262,0.301,0.391,0.959
2,KNN,KNN_n_neighbors=11_metric=euclidean,0.673,0.289,0.297,0.793,0.257,0.295,0.39,0.956
2,KNN,KNN_n_neighbors=21_metric=cosine,0.676,0.301,0.308,0.821,0.282,0.31,0.392,0.96
2,KNN,KNN_n_neighbors=21_metric=euclidean,0.666,0.283,0.292,0.819,0.263,0.291,0.371,0.96
2,KNN,KNN_n_neighbors=5_metric=cosine,0.659,0.288,0.296,0.746,0.235,0.32,0.352,0.965
2,KNN,KNN_n_neighbors=5_metric=euclidean,0.659,0.284,0.292,0.745,0.23,0.307,0.358,0.961
2,LR,LR_C=0.01,0.706,0.318,0.323,0.873,0.323,0.289,0.462,0.951
2,LR,LR_C=0.1,0.698,0.317,0.324,0.867,0.318,0.297,0.442,0.954
2,LR,LR_C=1,0.703,0.315,0.321,0.865,0.317,0.288,0.453,0.954
2,LR,LR_C=10,0.703,0.315,0.321,0.865,0.317,0.288,0.452,0.954
2,LR,LR_C=100,0.703,0.315,0.321,0.865,0.317,0.288,0.452,0.953
2,RF,RF_n_estimators=100_max_features=log2,0.694,0.334,0.341,0.864,0.349,0.338,0.427,0.96
2,RF,RF_n_estimators=100_max_features=sqrt,0.693,0.327,0.335,0.861,0.339,0.325,0.428,0.958
2,RF,RF_n_estimators=300_max_features=log2,0.695,0.344,0.351,0.874,0.356,0.353,0.424,0.966
2,RF,RF_n_estimators=300_max_features=sqrt,0.693,0.331,0.335,0.872,0.346,0.344,0.428,0.958
2,SVM,SVM_C=0.1,0.677,0.287,0.295,0.878,0.307,0.274,0.395,0.959
2,SVM,SVM_C=1,0.688,0.326,0.335,0.874,0.332,0.327,0.412,0.964
2,SVM,SVM_C=10,0.665,0.307,0.315,0.853,0.318,0.335,0.364,0.967
2,XGB,XGB_n_estimators=100_max_depth=3,0.66,0.31,0.321,0.852,0.323,0.347,0.35,0.971
2,XGB,XGB_n_estimators=100_max_depth=6,0.652,0.319,0.329,0.846,0.325,0.385,0.332,0.972
