,,Bal.Acc,Bal.Acc,MCC,MCC,F1,F1,ROC_AUC,ROC_AUC,PR_AUC,PR_AUC,Precision,Precision,Sensitivity,Sensitivity,Specificity,Specificity
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,Config,,,,,,,,,,,,,,,,
KNN,KNN_n_neighbors=11_metric=cosine,0.671,0.004,0.294,0.008,0.3,0.007,0.787,0.006,0.256,0.007,0.309,0.016,0.382,0.009,0.959,0.002
KNN,KNN_n_neighbors=11_metric=euclidean,0.669,0.004,0.293,0.008,0.3,0.008,0.786,0.007,0.253,0.006,0.309,0.015,0.379,0.008,0.958,0.002
KNN,KNN_n_neighbors=21_metric=cosine,0.666,0.007,0.286,0.01,0.295,0.009,0.811,0.009,0.262,0.012,0.296,0.011,0.37,0.016,0.962,0.002
KNN,KNN_n_neighbors=21_metric=euclidean,0.663,0.006,0.281,0.007,0.29,0.006,0.809,0.009,0.256,0.004,0.292,0.005,0.365,0.015,0.961,0.003
KNN,KNN_n_neighbors=5_metric=cosine,0.661,0.003,0.289,0.009,0.295,0.009,0.745,0.003,0.234,0.005,0.319,0.023,0.362,0.012,0.96,0.006
KNN,KNN_n_neighbors=5_metric=euclidean,0.663,0.004,0.286,0.005,0.292,0.005,0.745,0.004,0.231,0.006,0.308,0.01,0.367,0.01,0.959,0.003
LR,LR_C=0.01,0.691,0.009,0.302,0.011,0.31,0.011,0.861,0.008,0.292,0.02,0.282,0.008,0.427,0.02,0.955,0.003
LR,LR_C=0.1,0.686,0.008,0.299,0.012,0.308,0.011,0.855,0.008,0.293,0.017,0.283,0.012,0.415,0.017,0.958,0.002
LR,LR_C=1,0.687,0.01,0.299,0.011,0.307,0.01,0.854,0.008,0.292,0.017,0.281,0.008,0.416,0.022,0.957,0.003
LR,LR_C=10,0.686,0.01,0.298,0.011,0.308,0.009,0.854,0.008,0.292,0.017,0.281,0.007,0.414,0.023,0.957,0.003
LR,LR_C=100,0.686,0.01,0.299,0.011,0.308,0.009,0.854,0.008,0.292,0.017,0.281,0.007,0.414,0.023,0.957,0.003
RF,RF_n_estimators=100_max_features=log2,0.683,0.008,0.326,0.01,0.332,0.011,0.857,0.008,0.337,0.015,0.343,0.01,0.401,0.018,0.965,0.003
RF,RF_n_estimators=100_max_features=sqrt,0.681,0.009,0.32,0.015,0.327,0.016,0.85,0.009,0.326,0.015,0.335,0.018,0.397,0.02,0.965,0.004
RF,RF_n_estimators=300_max_features=log2,0.685,0.006,0.333,0.013,0.34,0.014,0.866,0.007,0.344,0.015,0.351,0.02,0.403,0.013,0.967,0.002
RF,RF_n_estimators=300_max_features=sqrt,0.681,0.01,0.322,0.016,0.329,0.016,0.86,0.009,0.332,0.017,0.338,0.019,0.396,0.024,0.965,0.005
SVM,SVM_C=0.1,0.671,0.006,0.281,0.006,0.289,0.005,0.862,0.01,0.284,0.014,0.278,0.011,0.386,0.015,0.957,0.005
SVM,SVM_C=1,0.674,0.008,0.305,0.014,0.314,0.016,0.859,0.01,0.31,0.014,0.314,0.011,0.385,0.017,0.964,0.001
SVM,SVM_C=10,0.661,0.004,0.298,0.007,0.307,0.008,0.839,0.009,0.306,0.01,0.323,0.01,0.356,0.008,0.967,0.001
XGB,XGB_n_estimators=100_max_depth=3,0.659,0.003,0.304,0.011,0.315,0.012,0.839,0.009,0.316,0.014,0.338,0.017,0.347,0.007,0.97,0.002
XGB,XGB_n_estimators=100_max_depth=6,0.653,0.007,0.311,0.012,0.322,0.012,0.836,0.009,0.321,0.013,0.359,0.018,0.332,0.014,0.974,0.002
XGB,XGB_n_estimators=300_max_depth=3,0.65,0.005,0.308,0.014,0.318,0.013,0.835,0.01,0.315,0.014,0.367,0.026,0.326,0.01,0.975,0.002
XGB,XGB_n_estimators=300_max_depth=6,0.651,0.006,0.312,0.014,0.323,0.013,0.833,0.009,0.321,0.013,0.367,0.022,0.327,0.013,0.975,0.002
