val_PR_AUC,test_PR_AUC,test_ROC_AUC,test_F1,n_valid_labels_PR,n_valid_labels_ROC,config,n_estimators,max_features,fold
0.5818357614373664,0.5943789817463988,0.7898671854657197,0.5814724839461092,12,12,n100_sqrt,100,sqrt,0
0.5861217444611276,0.580229940376544,0.7795509710206375,0.5726791261143521,12,12,n100_sqrt,100,sqrt,1
0.6041380405184996,0.5874406853021479,0.7793245551962708,0.568578628815931,12,12,n100_sqrt,100,sqrt,2
0.5747647245596476,0.5754702033170973,0.7806073956098664,0.5638352933599615,12,12,n100_sqrt,100,sqrt,3
0.6158358532729495,0.5704072549108704,0.7791403316405866,0.5600087312181042,12,12,n100_sqrt,100,sqrt,4
0.583302227079794,0.5938361957685427,0.7920118911205792,0.5839546790909408,12,12,n100_log2,100,log2,0
0.5880148420236999,0.5844772806809054,0.781629874435497,0.5702325666002955,12,12,n100_log2,100,log2,1
0.5997022484522357,0.585840334498603,0.777794561544752,0.5598275303638087,12,12,n100_log2,100,log2,2
0.5760745158071411,0.5789795992626724,0.7817022516184328,0.5594166145865863,12,12,n100_log2,100,log2,3
0.6144385441771698,0.5700948489989663,0.7795144836453193,0.56370077954875,12,12,n100_log2,100,log2,4
0.5933815871409658,0.6026249145625118,0.7931814980687713,0.5885647898598217,12,12,n300_sqrt,300,sqrt,0
0.5991428503494047,0.5912447654553673,0.782118053383941,0.5776792660010374,12,12,n300_sqrt,300,sqrt,1
0.608555088301934,0.5974744259646844,0.7822794432386129,0.5718144343784745,12,12,n300_sqrt,300,sqrt,2
0.58015085242379,0.5828067250385568,0.7838005807587637,0.5718106596835183,12,12,n300_sqrt,300,sqrt,3
0.6235503357825963,0.5799035948894428,0.7828425143415996,0.5613443453916197,12,12,n300_sqrt,300,sqrt,4
0.5915774785916978,0.6066314795059371,0.7972874710828054,0.5927074471265773,12,12,n300_log2,300,log2,0
0.5979340067231657,0.5929413976650942,0.7841159711015386,0.5726284048667002,12,12,n300_log2,300,log2,1
0.610017201280288,0.5971190710733599,0.7839733017636942,0.5726386146453517,12,12,n300_log2,300,log2,2
0.5855891893094883,0.5848647928554408,0.7867267842022317,0.5723794161431558,12,12,n300_log2,300,log2,3
0.6211394763010344,0.5799634226446272,0.7833421543684033,0.5615975913736773,12,12,n300_log2,300,log2,4
