,,,,,,best_epoch,best_epoch,train_loss_at_best,train_loss_at_best,val_meta_roc_auc,val_meta_roc_auc,roc_auc_138,roc_auc_138,pr_auc_138,pr_auc_138,f1_macro_138,f1_macro_138,f1_micro_138,f1_micro_138,precision_macro_138,precision_macro_138,recall_macro_138,recall_macro_138,precision_micro_138,precision_micro_138,recall_micro_138,recall_micro_138,matched_accuracy_138,matched_accuracy_138,hamming_loss_138,hamming_loss_138,jaccard_138,jaccard_138,hier_violation_rate_138,hier_violation_rate_138,roc_auc_12,roc_auc_12,pr_auc_12,pr_auc_12,f1_macro_12,f1_macro_12,instance_f1_12,instance_f1_12,balanced_accuracy_12,balanced_accuracy_12,matched_accuracy_12,matched_accuracy_12,sensitivity_macro_12,sensitivity_macro_12,specificity_macro_12,specificity_macro_12,precision_macro_12,precision_macro_12,recall_macro_12,recall_macro_12,hamming_loss_12,hamming_loss_12,jaccard_12,jaccard_12,hier_violation_rate_12,hier_violation_rate_12,label_cooc_consistency_12,label_cooc_consistency_12,test_loss,test_loss
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
global_dim,local_dim,dropout,lr,weight_decay,lambda_viol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,32,0.5,0.001,0.0001,0.0,24.4,7.231873892705818,0.67638,0.014206231027264003,0.7966,0.005567764362830016,0.8138400000000001,0.012480104166231945,0.18186,0.014222974372472167,0.18186,0.015311205047284808,0.3271,0.01715357105677998,0.16122,0.015613840014551196,0.28286,0.018048905784008085,0.24942000000000003,0.016315851188338292,0.47644000000000003,0.028292278098449416,0.02694,0.005905336569578401,0.06938,0.004711369227729874,0.11268,0.00995474761106478,0.18941999999999998,0.03747568545070257,0.7990999999999999,0.004894384537406137,0.60016,0.01623092726864362,0.5822,0.007383427388415194,0.6012000000000001,0.00795110055275366,0.71352,0.00563622213898638,0.059699999999999996,0.007042726744663604,0.6919,0.017354106142351486,0.7350800000000001,0.008105060147833574,0.5114799999999999,0.01222014729862122,0.6919,0.017354106142351486,0.25266,0.004147047142244706,0.41744000000000003,0.007640549718443028,0.0,0.0,0.14988,0.007065904046900162,0.6801999999999999,0.004496109429273254
64,32,0.5,0.001,0.0001,0.01,20.4,4.722287581247038,0.6843999999999999,0.013137731919931938,0.7964800000000001,0.006204997985495247,0.8088599999999999,0.013654047019107525,0.17664,0.012162154414411944,0.1756,0.013606064824187783,0.32646,0.010534134990591307,0.15232,0.01596533745337066,0.28006000000000003,0.004822136455970526,0.24535999999999997,0.012797968588803452,0.4888,0.011318568814121308,0.02632,0.0006058052492344392,0.07144,0.005114000391083284,0.10848,0.008818559973147542,0.19724,0.022233375812053372,0.79744,0.004658647872505511,0.59726,0.01579202330292102,0.5826,0.010969731081480544,0.59894,0.011863304767222355,0.7120599999999999,0.004897244122973691,0.058940000000000006,0.005891349590713489,0.6920200000000001,0.017072990364900918,0.73214,0.023852211637498098,0.51088,0.020915233682653415,0.6920200000000001,0.017072990364900918,0.25393999999999994,0.011340546724034077,0.4173,0.010866692229008788,0.0,0.0,0.14762,0.01881626955589231,0.68254,0.0069529130585676115
64,32,0.5,0.001,0.0001,0.05,29.0,4.301162633521313,0.66974,0.008144507351583693,0.79636,0.00574830409773176,0.8199400000000001,0.011231340080328812,0.19094,0.009279709047163062,0.19158,0.008723932599464532,0.33654,0.00891251928469162,0.1741,0.014500000000000006,0.29453999999999997,0.02530193668476784,0.25822,0.010857577998798792,0.48478000000000004,0.028322641119782565,0.029339999999999998,0.004907443326213763,0.06764,0.004942469018618119,0.11835999999999999,0.0054592123974067895,0.17794,0.021054643193367112,0.79896,0.005239561050317088,0.5990599999999999,0.015715692794146918,0.58162,0.010652558378154948,0.59846,0.010572747987160168,0.71542,0.008987602572432822,0.058499999999999996,0.004180310993215694,0.70316,0.015203223342436288,0.7277,0.007920858539325153,0.50704,0.0099417302317052,0.70316,0.015203223342436288,0.2576,0.0025495097567963744,0.41666,0.010691258111185983,0.0,0.0,0.15264,0.0109552727031325,0.6792,0.005315072906367378
64,32,0.5,0.001,0.0001,0.1,23.6,5.683308895353129,0.6775,0.012233356039942616,0.79654,0.005784289066082368,0.8131999999999999,0.01235860024436424,0.1825,0.01592560830863299,0.1816,0.01616879711048413,0.33214,0.013495295476572576,0.15704,0.014617557935578705,0.28356,0.017993415462329587,0.2523,0.01350407345951584,0.48650000000000004,0.013650457867778644,0.027739999999999997,0.00242548964128895,0.06924,0.003770013262576139,0.11208,0.010284308435670332,0.17834,0.030546243631582586,0.79874,0.0043500574708847176,0.59814,0.015479760980066839,0.58134,0.00711709210281835,0.6006199999999999,0.009406752893533493,0.7121799999999999,0.0018965758619153249,0.06216000000000001,0.00947538917406562,0.69638,0.014567498069332309,0.728,0.017519988584471173,0.5085,0.01847376518200883,0.69638,0.014567498069332309,0.25542,0.008845168172510923,0.41666,0.007354454432519125,0.0,0.0,0.154,0.014794762586807531,0.68076,0.003771339284657386
64,32,0.5,0.001,0.0001,0.3,24.0,7.778174593052023,0.68012,0.013179036383590385,0.79668,0.0054274303311972905,0.8109999999999999,0.00820335297302265,0.18052,0.011278608070147647,0.18092000000000003,0.010110242331418181,0.32836,0.013444813126258002,0.15868,0.0072853963516063954,0.27866,0.01564362489961962,0.24992,0.011739122624796127,0.47862,0.014135310396308932,0.02754,0.001871630305375503,0.06922,0.0016483324907311649,0.1122,0.006668957939588469,0.19336,0.02703725207930717,0.7983399999999999,0.005134491211405522,0.59896,0.015302058685026714,0.58058,0.011201651663928907,0.59662,0.01126308128355647,0.71298,0.0069474455737343266,0.05854,0.009594164893308846,0.69834,0.012114165262204431,0.72758,0.01637901095915139,0.50692,0.015847460364361205,0.69834,0.012114165262204431,0.25762,0.009220195225698868,0.41558,0.01099486243661102,0.0,0.0,0.15654,0.013102785963298051,0.6809799999999999,0.003315418525616326
64,32,0.5,0.001,0.001,0.0,21.6,6.8044103344816,0.72926,0.007244860247099305,0.79176,0.005496635334456922,0.69432,0.012747431113757809,0.1034,0.0026296387584609413,0.09490000000000001,0.0012165525060596437,0.27972,0.009849466990654865,0.07478,0.0029659737018389062,0.18072,0.006608479401496235,0.20044,0.008719690361474991,0.46312,0.013500629614947588,0.0030199999999999997,0.0037485997385690566,0.08434,0.00328983282250026,0.05802,0.0007726577508832738,0.29989999999999994,0.04961557215229913,0.79378,0.003930267166491311,0.58946,0.01521423675377767,0.57736,0.010131288170810293,0.5932999999999999,0.012667280686871988,0.7120599999999999,0.007610059132490362,0.0543,0.007739509028355741,0.70378,0.02897079563974726,0.72034,0.02862539082702628,0.49678000000000005,0.015302679503930007,0.70378,0.02897079563974726,0.26180000000000003,0.010882784570136457,0.41235999999999995,0.009777167278920822,0.0,0.0,0.16154000000000002,0.021037419043219156,0.71368,0.004479062401887223
64,32,0.5,0.001,0.001,0.01,27.2,12.96919426949878,0.7280200000000001,0.008478620170758925,0.7917,0.006280127387243038,0.68936,0.01858596244481302,0.10030000000000001,0.004253821811030638,0.09015999999999999,0.006940677200389022,0.27008,0.008875640821935067,0.07008,0.006408744026718499,0.17848,0.008988715147338905,0.19183999999999998,0.009286441729747736,0.45682,0.0027932060432413358,0.0030199999999999997,0.004637024908279014,0.08742,0.0051339068943641744,0.054979999999999994,0.00391624820459582,0.33571999999999996,0.03180726332144909,0.7936,0.003232645975048996,0.58998,0.01278854956592035,0.57476,0.00987587970765132,0.5889800000000001,0.011134271417564756,0.7131000000000001,0.004428882477555701,0.054479999999999994,0.0027617023735370186,0.6993400000000001,0.029879976572949312,0.7268800000000001,0.02490375473698695,0.4980399999999999,0.013132516895096664,0.6993400000000001,0.029879976572949312,0.26248,0.008334986502688527,0.40974000000000005,0.009480137129809878,0.0,0.0,0.15584,0.022175617240564015,0.7146,0.005748912940721939
64,32,0.5,0.001,0.001,0.05,30.0,16.1245154965971,0.72824,0.008084738709445113,0.79202,0.005896354806149325,0.6879799999999999,0.015051146135759932,0.099,0.004197022754286665,0.09084,0.007104083332844571,0.26658,0.011258641125819747,0.07012,0.008598662686720531,0.18774,0.008738878646599918,0.18516,0.013878868829987552,0.47992,0.024229465532693884,0.00262,0.0024437675830569485,0.0937,0.00999074571791316,0.0553,0.004538722287164086,0.34036,0.04321536763698767,0.79452,0.003700945825056056,0.59152,0.014552216326044662,0.57508,0.01289813940070426,0.59182,0.00976611488771255,0.7101200000000001,0.0076339373851243425,0.056920000000000005,0.006257155903443672,0.7001999999999999,0.02616467083683645,0.72002,0.02557913211975729,0.5015799999999999,0.018887482627391105,0.7001999999999999,0.02616467083683645,0.26295999999999997,0.01152466919264931,0.41058000000000006,0.012051846331579257,0.0,0.0,0.1698,0.02603526454638017,0.71316,0.004143428532025114
